Year,2012,2008,2004,2000,1996,1992,1988,1984,1980,1976,1972,1968,1964,1960
Alabama,-13.18,-14.58,-11.65,-7.86,-8.47,-7.28,-5.84,-2.09,4.63,5.61,-12.15,7.63,-61.35,7.14
Alaska,-9.28,-14.75,-11.98,-18.21,-15.16,-10.03,-8.26,-9.89,-11.99,-12.94,-0.89,-1.09,4.56,-1.02
Arizona,-6.58,-8,-4.03,-3.55,-3.51,-4.76,-6.84,-7.95,-12.91,-9.67,-5.2,-10.6,-11.84,-5.67
Arkansas,-14.12,-13.86,-3.69,-3.07,4.62,6.54,-3.29,-2.06,4.99,13.97,-7.36,-0.15,-4.98,3.74
California,9.91,8.59,6.29,5.93,2.48,5.06,2.09,0.95,-4.17,-1.97,4.81,-1.26,-2.18,-0.36
Colorado,0.78,0.86,-1.12,-4.76,-5.49,-0.65,-0.05,-5.2,-8.63,-6.99,-2.62,-4.58,0.25,-4.97
Connecticut,6.81,7.63,6.52,8.99,5.63,0.67,1.32,-1.83,-0.25,-3.66,2.44,3.16,6.53,3.65
Delaware,7.48,8.95,5.08,6.47,3.89,1.74,-2.34,-0.78,4.04,1.69,1.45,-1.62,-0.23,0.74
Florida,-1.52,-2.27,-1.28,-0.27,-1.58,-4.64,-7.35,-6.16,-3.75,1.63,-10.34,-6.31,-10.2,-1.6
Georgia,-5.92,-6.32,-7.11,-6.25,-5.37,-3.11,-6.3,-1.03,12.96,15.89,-13.49,-2.79,-15.47,12.48
Hawaii,19.74,19.31,5.65,9.56,9.54,3.27,8.71,3.47,6.39,0.23,-0.69,11.13,17.42,-0.05
Idaho,-18.39,-16.71,-18.08,-21.12,-15.53,-13.12,-9.39,-14.11,-17.21,-12.79,-9.37,-14.54,-10.43,-3.87
Illinois,6.61,9.05,6.45,5.91,4.87,5.13,2.85,2.7,0.97,-2.06,2.48,-1.2,-1.87,0.01
Indiana,-7.18,-3.17,-9.18,-8.27,-7.88,-7.29,-6.22,-2.9,-4.49,-4.9,-4.69,-6.56,-5.11,-5.32
Iowa,0.99,1.16,0.91,-0.11,1,0.28,9.05,5.45,-1.76,-1.57,3.05,-6.09,0.66,-6.83
Kansas,-13.02,-11.3,-11.62,-11.19,-14.81,-7,-2.83,-7.86,-8.17,-4.93,-7.85,-10.83,-6.79,-10.8
Kentucky,-13.51,-11.92,-8.76,-8,-4.21,-1.59,-1.95,-1.22,4.55,2.6,-2.78,-3.37,2.88,-3.67
Louisiana,-10.71,-13.15,-6.09,-4.21,1.83,-0.79,-1.29,-2.25,2.49,1.91,-7.95,5,-18.16,13.73
Maine,5.9,5.14,5.83,2.48,7.93,2.6,-1.87,-1.9,3.4,-1.48,0.29,6.62,7.5,-7.13
Maryland,11.36,9.24,7.81,8.2,3.9,4.84,2.44,6.41,6.92,1.98,-0.33,1.37,4.12,3.53
Massachusetts,9.82,9.51,13.99,14.52,13.9,8.64,7.88,7.77,5.21,7.06,16.3,16.11,15.12,10.28
Michigan,2.84,4.68,2.97,2.36,2.59,1.16,-0.08,-0.38,1.76,-3.8,4.45,4.16,5.49,0.93
Minnesota,1.98,1.54,3.01,1.02,4.64,4.27,7.45,9.26,7.52,5.59,8.97,6.97,2.57,0.63
Mississippi,-7.77,-10.33,-8.68,-8.87,-7.48,-8.38,-6.62,-3.11,4.63,-0.09,-18.15,13.39,-48.49,9.48
Missouri,-6.74,-3.76,-2.38,-1.98,-1.19,3.05,1.9,-0.86,1.74,0.79,-0.51,-0.23,2.7,0.18
Montana,-9,-4.92,-9.26,-13.93,-6.42,-1.73,0.91,-2.13,-8.36,-4.84,1.3,-4.48,-2.11,-1.34
Nebraska,-13.09,-11.3,-15.6,-15.45,-15.29,-14.76,-6.64,-11.84,-16.26,-11.67,-8.72,-14.88,-8.74,-12.15
Nevada,1.44,2.7,-0.07,-2.13,-4.15,-1.63,-6.92,-8.15,-14.62,-3.32,-1.89,-4.3,-2.76,1.08
New Hampshire,0.87,1.18,1.93,-0.94,0.88,-2.66,-9.33,-9.76,-11.76,-6.79,-2.95,-3.85,2.54,-3.5
New Jersey,7.02,4.18,4.61,7.94,5.23,-2.03,-3,-1.35,-2.1,-2.15,-0.82,-0.78,4.61,0.32
New Mexico,3.33,3.98,0.84,-0.24,-0.71,1.69,1.39,-1.18,-4.6,-2.3,-0.76,-6.2,-1.8,0.29
New York,12.34,9.89,10.53,12.83,11.28,6.02,5.97,5.15,3.83,1.17,3.1,3.31,7.31,2.55
North Carolina,-3,-3.52,-5,-6.73,-7.27,-3.91,-4.26,-2.86,4.21,4.5,-8.84,-7.07,-5.2,2.03
North Dakota,-12.08,-8.12,-12.67,-15,-8.65,-11.33,-2.69,-6.56,-15.68,-4.06,-1.64,-9,-3.29,-5.54
Ohio,-0.45,-1.35,0.19,-2.09,-1.14,-2.29,-1.57,-0.3,-0.43,-0.91,0.75,-0.89,1.6,-3.37
Oklahoma,-18.74,-19.33,-14.33,-11.35,-9.14,-9.08,-4.49,-9.94,-8.07,-1.67,-13.65,-9.45,-5.6,-9.1
Oregon,4.31,4.73,3.35,-0.03,-0.04,3.18,6.29,3.06,-0.25,-1.14,6.45,-2.82,2.58,-2.7
Pennsylvania,0.77,1.54,2.5,1.88,0.43,2.09,2.73,5.47,1.44,0.3,1.62,2.35,3.82,1.08
Rhode Island,12.05,10.51,11.82,15.38,14.27,8.39,9.78,7.34,11.47,4.62,8.69,17.24,19.53,13.55
South Carolina,-7.27,-8.23,-7.39,-8.42,-7.96,-8.09,-8.17,-4.95,4.52,5.52,-9.87,-5.86,-20.24,1.16
South Dakota,-11.18,-7.98,-9.67,-11.88,-6.67,-5.72,0.71,-4.13,-10.33,-1.8,7.46,-5.53,-5.73,-8.3
Tennessee,-12.32,-11.32,-5.95,-2.23,-3.45,-0.86,-4.32,0.99,5.16,5.52,-7.69,-6.96,-5.84,-3.7
Texas,-9.97,-9.62,-10.27,-11.23,-7.4,-5.7,-2.44,-4.62,-1.86,0.55,-4.79,1.19,2.09,0.93
Utah,-26.59,-18.21,-22.1,-22,-16.75,-17.21,-13.49,-15.95,-22.66,-16.03,-10.15,-9.97,-6.48,-4.9
Vermont,16.28,15.21,11.55,5.17,8.45,6.8,2.12,0.5,1.71,-6.8,-1.43,-4.38,4.96,-8.73
Virginia,0,-0.51,-2.89,-4.42,-5.8,-6.01,-6.46,-3.51,-1.51,-1.74,-7.47,-6.76,-7.66,-2.83
Washington,5.66,5.06,4.89,2.68,2.46,4.14,4.71,2.6,-1.79,-3.07,2.22,1.55,1.03,-1.3
West Virginia,-15.64,-10.36,-5.24,-3.51,3.62,4.31,6.28,3.9,7.68,7.02,-1.82,5.29,6.59,2.65
Wisconsin,1.55,3.37,1.44,-0.15,1.18,-0.66,5.73,4.55,2.72,-0.19,6.81,-1.56,0.85,-1.95
Wyoming,-23.13,-20.25,-19.07,-21.25,-12.22,-7.25,-7.52,-12.23,-13.83,-10.89,-7.58,-10.69,-4.79,-5.1
